Table with row headers in column A and column headers in rows 4 through 6,,,,,,,,,,,,,,,,
"Table A-1. Years of School Completed by People 25 Years and Over, by Age and Sex: Selected Years 1940 to 2024",,,,,,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population.1),,,,,,,,,,,,,,,,
Year,Total,Years of school completed,,,,,,,,,,,,,,
,,Elementary,,High school,,College,,Median,,,,,,,,
,,0 to 4 years,5 to 8 years,1 to 3 years,4 years,1 to 3 years,4 years or more,,,,,,,,,
"25 Years and Over, Both Sexes",,,,,,,,,,,,,,,,
2015,"21,427",166,488,"1,584","6,198","5,920","7,071",N,,,,,,,,
2014,"21,217",151,512,"1,611","6,323","5,910","6,710",N,,,,,,,,
2013,"20,816",161,582,"1,747","6,058","5,749","6,519",N,,,,,,,,
2012,"20,464",161,579,"1,707","6,127","5,619","6,270",N,,,,,,,,
2011,"20,985",190,657,"1,791","6,444","5,750","6,151",N,,,,,,,,
2010,"20,689",186,641,"1,866","6,458","5,587","5,951",N,,,,,,,,
2009,"20,440",184,695,"1,806","6,495","5,508","5,752",N,,,,,,,,
2008,"20,210",172,714,"1,874","6,356","5,277","5,816",N,,,,,,,,
2007,"20,024",246,757,"1,930","6,361","5,137","5,593",N,,,,,,,,
2006,"19,827",218,834,"1,835","6,233","5,336","5,371",N,,,,,,,,
2005,"19,677",241,769,"1,827","6,216","5,198","5,426",N,,,,,,,,
2004,"19,598",280,793,"1,723","6,020","5,286","5,495",N,,,,,,,,
2003,"19,564",216,771,"1,831","6,028","5,252","5,466",N,,,,,,,,
2002,"19,234",280,809,"1,782","5,751","5,131","5,480",N,,,,,,,,
2001,"19,330",233,748,"1,677","6,099","5,161","5,411",N,,,,,,,,
2000,"18,563",155,593,"1,637","5,989","4,870","5,318",N,,,,,,,,
1999,"18,294",157,616,"1,724","6,114","5,052","5,260",N,,,,,,,,
1998,"19,526",190,654,"1,735","6,592","5,233","5,125",N,,,,,,,,
1997,"20,039",193,629,"2,007","6,482","5,477","5,249",N,,,,,,,,
1996,"20,390",225,601,"2,055","6,701","5,536","5,274",N,,,,,,,,
1995,"20,589",229,708,"1,930","7,176","5,373","5,174",N,,,,,,,,
1994,"20,873",230,716,"2,134","7,408","5,510","4,873",N,,,,,,,,
1993,"20,856",237,679,"1,986","7,604","5,308","5,041",N,,,,,,,,
1992,"21,125",231,682,"2,057","8,113","5,116","4,927",N,,,,,,,,
1991,"21,319",270,694,"2,095","8,810","4,441","5,009",12.9,,,,,,,,
1990,"21,462",295,759,"2,153","8,649","4,392","5,215",12.9,,,,,,,,
1989,"21,461",251,698,"2,129","8,659","4,391","5,335",12.9,,,,,,,,
1988,"21,277",237,651,"2,227","8,569","4,273","5,319",12.9,,,,,,,,
1987,"21,142",223,698,"2,030","8,544","4,384","5,263",12.9,,,,,,,,
1986,"20,956",227,715,"1,887","8,359","4,488","5,279",12.9,,,,,,,,
1985,"20,184",194,700,"1,823","7,955","4,433","5,080",12.9,,,,,,,,
1984,"19,876",231,721,"1,739","7,798","4,238","5,150",12.9,,,,,,,,
1983,"19,438",213,659,"1,724","7,351","4,284","5,207",13.0,,,,,,,,
1982,"19,090",182,659,"1,654","7,380","4,162","5,053",13.0,,,,,,,,
1981,"18,625",176,733,"1,679","6,991","4,185","4,863",13.0,,,,,,,,
1980,"18,051",198,699,"1,639","6,393","4,166","4,957",13.0,,,,,,,,
1979,"16,719",197,695,"1,476","5,852","3,862","4,637",13.0,,,,,,,,
1978,"16,263",154,717,"1,526","5,701","3,698","4,471",13.1,,,,,,,,
1977,"15,863",134,672,"1,625","5,634","3,403","4,396",13.0,,,,,,,,
1976,"15,266",134,724,"1,566","5,672","3,085","4,087",12.9,,,,,,,,
1975,"14,776",177,815,"1,605","5,508","2,915","3,757",12.9,,,,,,,,
1974,"14,222",211,859,"1,617","5,491","2,672","3,372",12.8,,,,,,,,
1973,"13,638",204,966,"1,760","5,363","2,416","2,927",12.7,,,,,,,,
1972,"13,030",157,927,"1,796","5,150","2,191","2,809",12.7,,,,,,,,
1971,"12,596",170,"1,092","1,771","5,049","2,005","2,506",12.6,,,,,,,,
1970,"12,236",189,"1,063","1,896","4,833","1,842","2,412",12.6,,,,,,,,
1969,"11,788",204,"1,121","1,849","4,652","1,719","2,241",12.6,,,,,,,,
1968,"11,381",193,"1,192","1,880","4,473","1,505","2,136",12.5,,,,,,,,
1967,"10,876",170,"1,209","1,814","4,187","1,522","1,973",12.5,,,,,,,,
1966,"10,701",241,"1,162","1,839","4,191","1,374","1,894",12.5,,,,,,,,
1965,"10,693",325,"1,240","1,802","4,188","1,316","1,822",12.5,,,,,,,,
1964,"10,729",297,"1,344","1,962","4,008","1,306","1,812",12.4,,,,,,,,
1962,"10,762",334,"1,569","2,008","3,700","1,309","1,842",12.4,,,,,,,,
1960,"11,184",420,"2,026","2,441","3,356","1,316","1,624",12.2,,,,,,,,
1959,"11,226",416,"1,822","2,238","3,682","1,256","1,658",12.3,,,,,,,,
1957,"11,368",423,"2,097","2,446","3,542","1,181","1,556",12.2,,,,,,,,
1952,"10,936",502,"2,202","2,268","3,458","1,118","1,268",12.1,,,,,,,,
1950,"11,454",631,"2,705","2,426","3,250","1,117","1,037",11.5,,,,,,,,
1947,"10,894",544,"2,665","2,494","3,337",993,738,11.7,,,,,,,,
1940,"10,521",779,"3,932","2,220","2,049",692,744,9.7,,,,,,,,
"25 to 34 Years, Female",,,,,,,,,,,,,,,,
2024,"22,360",77,238,705,"5,405","5,464","10,470",N,,,,,,,,
2023,"22,240",76,238,775,"5,129","5,564","10,460",N,,,,,,,,
2022,"22,257",55,261,895,"5,264","5,739","10,044",N,,,,,,,,
2021,"22,447",50,244,919,"4,996","5,976","10,261",N,,,,,,,,
2020,"22,477",74,272,904,"4,900","6,087","10,240",N,,,,,,,,
2019,"22,482",84,300,"1,051","5,045","6,330","9,671",N,,,,,,,,
2018,"22,364",87,344,"1,004","4,930","6,454","9,547",N,,,,,,,,
2017,"22,129",84,342,"1,122","5,037","6,526","9,018",N,,,,,,,,
2016,"21,918",93,390,"1,229","4,838","6,594","8,774",N,,,,,,,,
2015,"21,579",126,375,"1,354","4,767","6,500","8,457",N,,,,,,,,
2014,"21,248",135,435,"1,407","4,717","6,267","8,287",N,,,,,,,,
2013,"20,981",99,454,"1,369","4,892","6,205","7,962",N,,,,,,,,
2012,"20,755",112,484,"1,372","4,847","6,145","7,795",N,,,,,,,,
2011,"20,599",128,483,"1,307","4,806","6,296","7,580",N,,,,,,,,
2010,"20,396",137,527,"1,405","4,728","6,068","7,530",N,,,,,,,,
2009,"20,079",137,531,"1,395","4,856","5,901","7,258",N,,,,,,,,
2008,"19,937",111,475,"1,421","4,941","5,836","7,153",N,,,,,,,,
2007,"19,843",134,527,"1,532","5,047","5,824","6,781",N,,,,,,,,
2006,"19,654",140,577,"1,538","5,069","5,894","6,435",N,,,,,,,,
2005,"19,633",173,607,"1,594","5,053","5,667","6,539",N,,,,,,,,
2004,"19,603",150,606,"1,516","5,224","5,758","6,349",N,,,,,,,,
2003,"19,679",153,598,"1,503","5,364","5,734","6,325",N,,,,,,,,
2002,"19,436",153,584,"1,463","5,237","5,645","6,353",N,,,,,,,,
2001,"19,536",147,569,"1,525","5,195","5,985","6,115",N,,,,,,,,
2000,"19,222",130,542,"1,415","5,557","5,831","5,750",N,,,,,,,,
1999,"19,551",122,525,"1,572","5,712","5,842","5,779",N,,,,,,,,
1998,"19,828",130,553,"1,493","5,977","5,986","5,688",N,,,,,,,,
1997,"20,217",149,533,"1,615","6,227","6,047","5,643",N,,,,,,,,
1996,"20,528",195,569,"1,734","6,386","6,090","5,568",N,,,,,,,,
1995,"20,800",165,556,"1,738","6,885","6,286","5,170",N,,,,,,,,
1994,"21,073",138,581,"1,923","7,075","6,404","4,953",N,,,,,,,,
1993,"21,007",143,543,"1,907","7,432","6,054","4,928",N,,,,,,,,
1992,"21,368",203,567,"2,014","7,908","5,744","4,933",N,,,,,,,,
1991,"21,586",195,629,"2,085","8,693","4,841","5,143",12.9,,,,,,,,
1990,"21,779",209,653,"1,889","8,986","4,927","5,112",12.9,,,,,,,,
1989,"21,777",195,654,"1,885","9,242","4,681","5,119",12.9,,,,,,,,
1988,"21,675",193,657,"1,869","9,319","4,801","4,836",12.9,,,,,,,,
1987,"21,494",168,662,"1,965","8,995","4,772","4,932",12.9,,,,,,,,
1986,"21,097",160,644,"1,910","8,952","4,616","4,813",12.9,,,,,,,,
1985,"20,673",168,627,"1,880","8,794","4,547","4,657",12.9,,,,,,,,
1984,"20,297",173,649,"1,904","8,634","4,319","4,621",12.9,,,,,,,,
1983,"19,903",161,665,"1,941","8,452","4,285","4,398",12.9,,,,,,,,
1982,"19,614",155,713,"1,942","8,512","4,140","4,148",12.8,,,,,,,,
1981,"19,203",161,698,"1,986","8,427","4,013","3,918",12.8,,,,,,,,
1980,"18,565",164,725,"1,932","8,087","3,777","3,879",12.8,,,,,,,,
1979,"17,334",173,685,"1,977","7,486","3,553","3,460",12.8,,,,,,,,
1978,"16,857",172,742,"1,989","7,292","3,311","3,351",12.6,,,,,,,,
1977,"16,421",136,710,"2,088","7,212","2,995","3,280",12.7,,,,,,,,
1976,"15,882",112,784,"2,054","7,248","2,731","2,954",12.7,,,,,,,,
1975,"15,316",135,833,"2,139","7,037","2,489","2,686",12.6,,,,,,,,
1974,"14,750",142,796,"2,145","6,871","2,383","2,413",12.6,,,,,,,,
1973,"14,155",129,884,"2,154","6,830","2,037","2,121",12.6,,,,,,,,
1972,"13,487",128,862,"2,184","6,485","1,899","1,926",12.5,,,,,,,,
1971,"12,950",156,919,"2,212","6,183","1,816","1,663",12.5,,,,,,,,
1970,"12,629",140,876,"2,355","6,096","1,648","1,512",12.5,,,,,,,,
1969,"12,285",155,965,"2,291","5,941","1,481","1,451",12.4,,,,,,,,
1968,"11,904",157,"1,053","2,246","5,684","1,484","1,278",12.4,,,,,,,,
1967,"11,512",149,"1,084","2,200","5,458","1,426","1,195",12.4,,,,,,,,
1966,"11,322",186,"1,047","2,319","5,355","1,273","1,134",12.4,,,,,,,,
1965,"11,284",218,"1,197","2,256","5,310","1,244","1,060",12.4,,,,,,,,
1964,"11,269",202,"1,248","2,216","5,362","1,221","1,018",12.4,,,,,,,,
1962,"11,368",263,"1,367","2,363","5,115","1,243","1,017",12.3,,,,,,,,
1960,"11,637",289,"1,712","2,694","4,810","1,256",875,12.2,,,,,,,,
1959,"11,696",345,"1,526","2,503","5,297","1,142",822,12.3,,,,,,,,
1957,"12,069",327,"1,874","2,519","5,385","1,094",795,12.2,,,,,,,,
1952,"12,202",342,"2,160","2,630","5,162","1,102",784,12.2,,,,,,,,
1950,"12,172",516,"2,603","2,624","4,410","1,081",714,12.1,,,,,,,,
1947,"11,733",471,"2,858","2,503","4,293",915,640,12.0,,,,,,,,
1940,"10,818",598,"3,744","2,333","2,653",862,544,10.3,,,,,,,,
"35 to 54 Years, Both Sexes",,,,,,,,,,,,,,,,
2024,"84,430",647,"2,217","4,295","21,360","20,220","35,690",N,,,,,,,,
2023,"83,490",612,"2,255","4,264","21,040","20,060","35,260",N,,,,,,,,
2022,"83,321",671,"2,186","4,423","21,531","19,845","34,665",N,,,,,,,,
2021,"81,684",671,"2,267","4,278","20,460","19,961","34,046",N,,,,,,,,
2020,"80,999",685,"2,133","4,364","20,261","20,302","33,254",N,,,,,,,,
2019,"81,727",716,"2,309","4,957","21,303","20,572","31,869",N,,,,,,,,
2018,"82,196",690,"2,289","4,974","21,680","21,340","31,223",N,,,,,,,,
2017,"82,072",709,"2,403","5,059","22,103","21,621","30,176",N,,,,,,,,
2016,"82,571",799,"2,636","5,296","22,298","22,070","29,473",N,,,,,,,,
2015,"82,715",862,"2,742","5,471","23,153","21,826","28,660",N,,,,,,,,
2014,"82,687",875,"2,612","5,433","23,238","22,472","28,057",N,,,,,,,,
2013,"83,324",778,"2,611","5,437","23,708","22,831","27,959",N,,,,,,,,
2012,"83,883",863,"2,762","5,569","24,608","22,792","27,288",N,,,,,,,,
2011,"83,796",899,"2,474","5,682","25,039","22,796","26,907",N,,,,,,,,
2010,"84,834",852,"2,549","5,937","26,145","22,911","26,440",N,,,,,,,,
2009,"85,688",909,"2,716","6,046","26,121","23,384","26,513",N,,,,,,,,
2008,"86,067",905,"2,742","5,882","26,108","23,504","26,926",N,,,,,,,,
2007,"86,224",874,"2,720","6,310","26,675","22,777","26,869",N,,,,,,,,
2006,"85,918",965,"2,769","6,274","26,636","23,317","25,958",N,,,,,,,,
2005,"85,311",954,"2,757","5,892","27,232","23,129","25,347",N,,,,,,,,
2004,"84,642",963,"2,582","5,938","26,649","23,093","25,417",N,,,,,,,,
2003,"84,308",957,"2,620","6,112","26,346","23,039","25,234",N,,,,,,,,
2002,"83,829",941,"2,636","5,874","26,740","23,148","24,489",N,,,,,,,,
2001,"83,286",886,"2,612","5,899","26,356","23,271","24,262",N,,,,,,,,
2000,"81,435",932,"2,521","5,702","26,481","22,618","23,183",N,,,,,,,,
1999,"79,976",872,"2,535","6,052","26,367","21,561","22,589",N,,,,,,,,
1998,"78,520",890,"2,613","6,164","26,079","21,267","21,506",N,,,,,,,,
1997,"76,973",867,"2,686","6,045","26,054","20,684","20,635",N,,,,,,,,
1996,"74,661",968,"2,710","5,803","24,924","20,105","20,152",N,,,,,,,,
1995,"73,028",927,"2,561","5,664","24,070","19,926","19,878",N,,,,,,,,
1994,"71,049",987,"2,680","5,415","23,804","19,210","18,956",N,,,,,,,,
1993,"68,845",942,"2,486","5,538","23,927","17,984","17,970",N,,,,,,,,
1992,"66,594",899,"2,608","5,845","23,442","16,658","17,144",N,,,,,,,,
1991,"64,351",995,"3,057","5,522","24,815","13,348","16,614",12.9,,,,,,,,
1990,"62,499",980,"3,104","5,529","24,434","12,553","15,899",12.9,,,,,,,,
1989,"60,494",999,"3,315","5,800","23,334","11,627","15,417",12.9,,,,,,,,
1988,"58,555",958,"3,272","5,889","23,049","11,017","14,369",12.8,,,,,,,,
1987,"56,650",842,"3,398","5,656","22,820","10,523","13,409",12.8,,,,,,,,
1986,"55,170",896,"3,614","5,769","22,151","10,110","12,629",12.8,,,,,,,,
1985,"53,697",899,"3,639","5,978","21,600","9,217","12,363",12.8,,,,,,,,
1984,"52,297",893,"3,754","6,158","21,290","8,702","11,500",12.7,,,,,,,,
1983,"50,956",973,"4,044","6,313","20,788","8,045","10,795",12.7,,,,,,,,
1982,"49,722",963,"4,320","6,657","20,445","7,580","9,756",12.6,,,,,,,,
1981,"48,680","1,038","4,531","6,773","20,032","7,115","9,181",12.6,,,,,,,,
1980,"48,124","1,034","4,676","7,063","19,584","6,943","8,822",12.6,,,,,,,,
1979,"47,437","1,030","4,895","7,132","19,488","6,655","8,237",12.5,,,,,,,,
1978,"46,921","1,107","5,262","7,590","19,012","6,286","7,667",12.5,,,,,,,,
1977,"46,409","1,192","5,445","7,781","18,781","6,013","7,196",12.5,,,,,,,,
1976,"46,271","1,245","5,729","7,671","18,893","5,957","6,776",12.5,,,,,,,,
1975,"46,193","1,296","5,942","7,765","19,010","5,673","6,506",12.4,,,,,,,,
1974,"46,217","1,293","6,244","7,896","19,038","5,375","6,372",12.4,,,,,,,,
1973,"45,910","1,344","6,519","8,001","18,651","5,318","6,076",12.4,,,,,,,,
1972,"45,956","1,367","7,004","8,521","18,400","5,074","5,589",12.3,,,,,,,,
1971,"46,294","1,439","7,588","8,393","18,334","5,082","5,460",12.3,,,,,,,,
1970,"46,319","1,461","7,935","8,555","18,200","4,875","5,294",12.3,,,,,,,,
1969,"46,255","1,644","8,313","8,586","17,773","4,749","5,190",12.3,,,,,,,,
1968,"46,396","1,654","8,698","8,838","17,362","4,642","5,200",12.2,,,,,,,,
1967,"46,321","1,771","9,036","9,138","16,906","4,525","4,947",12.2,,,,,,,,
1966,"46,313","1,837","9,528","9,309","16,605","4,230","4,805",12.1,,,,,,,,
1965,"46,296","1,827","9,812","9,266","16,359","4,384","4,647",12.1,,,,,,,,
1964,"46,089","1,905","10,259","9,289","15,760","4,397","4,482",12.1,,,,,,,,
1962,"45,287","2,181","10,795","8,938","14,668","4,452","4,253",12.0,,,,,,,,
1960,"44,742","2,424","12,536","9,502","12,517","4,123","3,639",11.3,,,,,,,,
1959,"43,989","2,303","11,657","8,719","13,244","3,715","3,709",11.8,,,,,,,,
1957,"42,645","2,658","12,349","8,384","12,041","3,248","3,360",11.3,,,,,,,,
1952,"39,014","2,606","13,274","7,348","9,374","3,148","2,802",10.5,,,,,,,,
1950,"38,432","3,404","14,420","6,976","7,262","2,878","2,516",9.7,,,,,,,,
1947,"36,717","3,203","15,184","6,311","6,715","2,622","2,221",9.0,,,,,,,,
1940,"33,845","4,549","16,270","4,972","4,217","1,836","1,540",8.6,,,,,,,,
"35 to 54 Years, Male",,,,,,,,,,,,,,,,
2024,"42,040",312,"1,257","2,354","11,910","9,838","16,370",N,,,,,,,,
2023,"41,730",310,"1,215","2,388","11,800","9,822","16,200",N,,,,,,,,
2022,"41,464",385,"1,156","2,435","12,187","9,620","15,680",N,,,,,,,,
2021,"40,238",393,"1,219","2,321","11,446","9,406","15,453",N,,,,,,,,
2020,"39,591",393,"1,110","2,385","11,048","9,479","15,176",N,,,,,,,,
2019,"40,180",388,"1,202","2,690","11,688","9,863","14,348",N,,,,,,,,
2018,"40,411",356,"1,182","2,657","11,753","9,991","14,472",N,,,,,,,,
2017,"40,303",395,"1,305","2,711","12,032","10,026","13,834",N,,,,,,,,
2016,"40,539",443,"1,336","2,903","12,021","10,217","13,620",N,,,,,,,,
2015,"40,565",469,"1,416","2,987","12,401","9,996","13,296",N,,,,,,,,
2014,"40,525",489,"1,459","2,992","12,246","10,199","13,139",N,,,,,,,,
2013,"40,868",409,"1,464","2,962","12,417","10,473","13,142",N,,,,,,,,
2012,"41,167",462,"1,525","2,927","12,869","10,439","12,944",N,,,,,,,,
2011,"41,209",447,"1,292","3,027","13,250","10,339","12,854",N,,,,,,,,
2010,"41,858",446,"1,367","3,227","13,824","10,311","12,682",N,,,,,,,,
2009,"42,263",500,"1,458","3,278","13,644","10,670","12,713",N,,,,,,,,
2008,"42,419",507,"1,490","3,228","13,625","10,711","12,858",N,,,,,,,,
2007,"42,476",491,"1,433","3,480","13,737","10,359","12,976",N,,,,,,,,
2006,"42,344",549,"1,472","3,356","13,660","10,608","12,701",N,,,,,,,,
2005,"42,024",547,"1,476","3,063","14,017","10,429","12,491",N,,,,,,,,
2004,"41,612",577,"1,323","3,157","13,238","10,636","12,682",N,,,,,,,,
2003,"41,340",538,"1,372","3,282","12,903","10,622","12,622",N,,,,,,,,
2002,"41,154",513,"1,333","3,063","13,133","10,739","12,373",N,,,,,,,,
2001,"40,858",488,"1,368","2,974","12,784","10,827","12,417",N,,,,,,,,
2000,"40,024",479,"1,288","2,845","12,845","10,716","11,854",N,,,,,,,,
1999,"39,300",470,"1,290","3,101","12,544","10,233","11,664",N,,,,,,,,
1998,"38,654",486,"1,333","3,284","12,239","10,098","11,214",N,,,,,,,,
1997,"37,912",486,"1,370","3,143","12,326","9,713","10,870",N,,,,,,,,
1996,"36,596",520,"1,319","2,877","11,749","9,514","10,526",N,,,,,,,,
1995,"35,994",529,"1,368","2,781","11,223","9,305","10,784",N,,,,,,,,
1994,"34,998",545,"1,383","2,621","11,009","9,073","10,369",N,,,,,,,,
1993,"33,751",478,"1,316","2,660","10,983","8,624","9,687",N,,,,,,,,
1992,"32,619",472,"1,368","2,750","10,670","7,968","9,389",N,,,,,,,,
1991,"31,460",530,"1,624","2,612","11,092","6,430","9,169",13.0,,,,,,,,
1990,"30,623",527,"1,658","2,573","10,790","6,169","8,905",13.0,,,,,,,,
1989,"29,597",504,"1,762","2,628","10,235","5,719","8,749",13.0,,,,,,,,
1988,"28,645",498,"1,725","2,654","10,100","5,327","8,340",12.9,,,,,,,,
1987,"27,680",412,"1,801","2,617","9,781","5,173","7,895",12.9,,,,,,,,
1986,"26,925",475,"1,919","2,699","9,393","5,013","7,426",12.9,,,,,,,,
1985,"26,181",501,"1,928","2,726","9,210","4,502","7,314",12.9,,,,,,,,
1984,"25,460",506,"2,014","2,831","8,926","4,257","6,929",12.8,,,,,,,,
1983,"24,796",548,"2,108","2,862","8,795","3,884","6,601",12.8,,,,,,,,
1982,"24,164",530,"2,302","2,989","8,609","3,757","5,977",12.7,,,,,,,,
1981,"23,646",572,"2,425","3,112","8,431","3,519","5,588",12.7,,,,,,,,
1980,"23,373",590,"2,492","3,202","8,278","3,442","5,370",12.7,,,,,,,,
1979,"22,976",545,"2,612","3,194","8,232","3,306","5,090",12.6,,,,,,,,
1978,"22,719",609,"2,779","3,377","8,001","3,136","4,817",12.6,,,,,,,,
1977,"22,445",661,"2,889","3,554","7,822","3,000","4,520",12.5,,,,,,,,
1976,"22,403",730,"3,004","3,473","7,904","2,969","4,323",12.5,,,,,,,,
1975,"22,358",763,"3,100","3,510","7,952","2,879","4,153",12.5,,,,,,,,
1974,"22,367",733,"3,286","3,532","8,004","2,730","4,081",12.6,,,,,,,,
1973,"22,166",716,"3,413","3,586","7,836","2,714","3,901",12.4,,,,,,,,
1972,"22,200",749,"3,674","3,917","7,663","2,564","3,631",12.4,,,,,,,,
1971,"22,474",849,"3,985","3,823","7,674","2,578","3,567",12.3,,,,,,,,
1970,"22,475",834,"4,208","3,876","7,612","2,555","3,390",12.3,,,,,,,,
1969,"22,420",889,"4,359","4,012","7,427","2,456","3,277",12.3,,,,,,,,
1968,"22,521",931,"4,487","4,160","7,324","2,364","3,257",12.2,,,,,,,,
1967,"22,482","1,000","4,700","4,270","7,143","2,244","3,128",12.2,,,,,,,,
1966,"22,508","1,085","4,886","4,455","6,990","2,029","3,063",12.1,,,,,,,,
1965,"22,534","1,081","5,076","4,462","6,815","2,161","2,937",12.1,,,,,,,,
1964,"22,457","1,158","5,226","4,416","6,657","2,212","2,789",12.2,,,,,,,,
1962,"22,081","1,235","5,545","4,359","6,202","2,142","2,598",11.9,,,,,,,,
1960,"21,919","1,397","6,415","4,579","5,364","1,957","2,206",11.1,,,,,,,,
1959,"21,511","1,350","5,781","4,329","5,604","1,827","2,250",11.5,,,,,,,,
1957,"20,873","1,491","6,293","3,987","5,195","1,558","1,972",11.0,,,,,,,,
1952,"18,888","1,466","6,512","3,462","4,040","1,518","1,576",10.3,,,,,,,,
1950,"18,896","1,834","7,338","3,339","3,151","1,271","1,403",9.6,,,,,,,,
1947,"18,165","1,678","7,765","3,102","2,907","1,168","1,258",8.6,,,,,,,,
1940,"17,127","2,480","8,458","2,388","1,798",819,917,8.5,,,,,,,,
"35 to 54 Years, Female",,,,,,,,,,,,,,,,
2024,"42,390",335,960,"1,942","9,447","10,380","19,320",N,,,,,,,,
2023,"41,760",302,"1,040","1,875","9,244","10,230","19,060",N,,,,,,,,
2022,"41,857",286,"1,030","1,988","9,344","10,224","18,985",N,,,,,,,,
2021,"41,446",278,"1,048","1,957","9,015","10,555","18,593",N,,,,,,,,
2020,"41,408",292,"1,022","1,980","9,214","10,823","18,077",N,,,,,,,,
2019,"41,547",327,"1,107","2,267","9,616","10,709","17,521",N,,,,,,,,
2018,"41,785",334,"1,107","2,317","9,927","11,349","16,751",N,,,,,,,,
2017,"41,769",314,"1,098","2,348","10,072","11,595","16,342",N,,,,,,,,
2016,"42,031",356,"1,300","2,393","10,276","11,853","15,853",N,,,,,,,,
2015,"42,150",394,"1,326","2,484","10,752","11,830","15,364",N,,,,,,,,
2014,"42,163",385,"1,153","2,440","10,993","12,273","14,919",N,,,,,,,,
2013,"42,456",369,"1,147","2,475","11,290","12,358","14,817",N,,,,,,,,
2012,"42,716",400,"1,237","2,642","11,739","12,352","14,345",N,,,,,,,,
2011,"42,587",452,"1,183","2,654","11,789","12,457","14,053",N,,,,,,,,
2010,"42,976",406,"1,181","2,710","12,321","12,600","13,758",N,,,,,,,,
2009,"43,424",409,"1,258","2,768","12,476","12,713","13,800",N,,,,,,,,
2008,"43,648",398,"1,253","2,654","12,483","12,792","14,067",N,,,,,,,,
2007,"43,748",382,"1,288","2,830","12,938","12,419","13,892",N,,,,,,,,
2006,"43,573",417,"1,298","2,915","12,976","12,710","13,255",N,,,,,,,,
2005,"43,287",407,"1,280","2,829","13,215","12,700","12,856",N,,,,,,,,
2004,"43,030",386,"1,259","2,781","13,411","12,458","12,736",N,,,,,,,,
2003,"42,968",419,"1,248","2,830","13,443","12,417","12,611",N,,,,,,,,
2002,"42,675",428,"1,303","2,811","13,607","12,410","12,116",N,,,,,,,,
2001,"42,428",398,"1,244","2,926","13,572","12,444","11,844",N,,,,,,,,
2000,"41,411",452,"1,235","2,858","13,635","11,905","11,330",N,,,,,,,,
1999,"40,676",402,"1,248","2,950","13,825","11,326","10,925",N,,,,,,,,
1998,"39,866",403,"1,279","2,879","13,841","11,168","10,293",N,,,,,,,,
1997,"39,061",381,"1,319","2,902","13,726","10,969","9,766",N,,,,,,,,
1996,"38,065",449,"1,301","2,924","13,174","10,592","9,623",N,,,,,,,,
1995,"37,034",396,"1,192","2,881","12,846","10,623","9,096",N,,,,,,,,
1994,"36,051",443,"1,298","2,792","12,795","10,140","8,587",N,,,,,,,,
1993,"35,093",462,"1,169","2,877","12,944","9,358","8,283",N,,,,,,,,
1992,"33,975",427,"1,240","3,096","12,770","8,687","7,756",N,,,,,,,,
1991,"32,891",464,"1,431","2,910","13,723","6,919","7,443",12.8,,,,,,,,
1990,"31,876",454,"1,448","2,955","13,643","6,383","6,997",12.8,,,,,,,,
1989,"30,898",498,"1,552","3,171","13,099","5,908","6,669",12.8,,,,,,,,
1988,"29,908",462,"1,547","3,234","12,949","5,689","6,029",12.7,,,,,,,,
1987,"28,969",430,"1,598","3,039","13,038","5,349","5,513",12.7,,,,,,,,
1986,"28,244",420,"1,694","3,071","12,759","5,098","5,202",12.7,,,,,,,,
1985,"27,516",398,"1,710","3,252","12,391","4,715","5,049",12.7,,,,,,,,
1984,"26,838",389,"1,740","3,331","12,364","4,444","4,570",12.6,,,,,,,,
1983,"26,161",427,"1,935","3,450","11,993","4,161","4,193",12.6,,,,,,,,
1982,"25,555",433,"2,017","3,666","11,833","3,827","3,778",12.6,,,,,,,,
1981,"25,034",467,"2,105","3,661","11,599","3,605","3,595",12.5,,,,,,,,
1980,"24,751",444,"2,186","3,862","11,307","3,501","3,452",12.5,,,,,,,,
1979,"24,461",486,"2,282","3,935","11,258","3,353","3,147",12.5,,,,,,,,
1978,"24,202",497,"2,483","4,212","11,012","3,149","2,849",12.5,,,,,,,,
1977,"23,964",534,"2,557","4,227","10,959","3,014","2,678",12.4,,,,,,,,
1976,"23,868",517,"2,721","4,198","10,989","2,988","2,455",12.4,,,,,,,,
1975,"23,835",533,"2,842","4,256","11,058","2,793","2,352",12.4,,,,,,,,
1974,"23,850",559,"2,956","4,364","11,033","2,647","2,290",12.4,,,,,,,,
1973,"23,744",628,"3,106","4,415","10,815","2,603","2,174",12.3,,,,,,,,
1972,"23,756",618,"3,330","4,604","10,736","2,509","1,958",12.3,,,,,,,,
1971,"23,821",590,"3,604","4,570","10,660","2,505","1,894",12.3,,,,,,,,
1970,"23,845",629,"3,728","4,679","10,588","2,318","1,903",12.3,,,,,,,,
1969,"23,834",755,"3,953","4,575","10,349","2,293","1,913",12.3,,,,,,,,
1968,"23,874",725,"4,212","4,676","10,038","2,281","1,943",12.2,,,,,,,,
1967,"23,839",773,"4,334","4,868","9,762","2,282","1,819",12.2,,,,,,,,
1966,"23,806",752,"4,644","4,853","9,615","2,200","1,741",12.2,,,,,,,,
1965,"23,765",746,"4,735","4,803","9,545","2,223","1,712",12.2,,,,,,,,
1964,"23,632",748,"5,033","4,871","9,103","2,183","1,691",12.1,,,,,,,,
