"state","year","region","base_years_schooling","base_bachelors","state_growth_rate","nat_gdp_growth","nat_unemployment","gdp_growth_pct","income_growth_pct","unemployment_rate","bachelors_plus_pct","hs_completion_pct","avg_years_schooling","unemployment_tier","education_tier"
"Alabama",2004,"South",14.1854792235733,33.6096263260197,0.260048268779925,3.8,5.5,3.75,3,4.92,33.18,87.24,15,"Mid (4-7%)","Some College"
"Alabama",2005,"South",14.1854792235733,33.6096263260197,0.260048268779925,3.5,5.1,1.64,2.52,6.71,33.67,85.85,14.73,"Mid (4-7%)","Some College"
"Alabama",2006,"South",14.1854792235733,33.6096263260197,0.260048268779925,2.9,4.6,4.3,4.4,5.07,35.3,86.12,14.72,"Mid (4-7%)","Some College"
"Alabama",2007,"South",14.1854792235733,33.6096263260197,0.260048268779925,1.9,4.6,1.57,2.82,3.47,36.32,87.98,14.86,"Low (<4%)","Some College"
"Alabama",2008,"South",14.1854792235733,33.6096263260197,0.260048268779925,-0.1,5.8,-0.66,1.98,4.36,35.75,85.82,14.79,"Mid (4-7%)","Some College"
"Alabama",2009,"South",14.1854792235733,33.6096263260197,0.260048268779925,-2.5,9.3,-3.99,0.04,9.55,36.22,85.95,14.21,"High (7%+)","Some College"
"Alabama",2010,"South",14.1854792235733,33.6096263260197,0.260048268779925,2.6,9.6,2.59,0.63,9.26,38.81,89.2,14.82,"High (7%+)","Bachelor's+"
"Alabama",2011,"South",14.1854792235733,33.6096263260197,0.260048268779925,1.6,8.9,0.64,3.61,8.81,37.24,88.09,14.91,"High (7%+)","Some College"
"Alabama",2012,"South",14.1854792235733,33.6096263260197,0.260048268779925,2.2,8.1,1.56,2.89,7.92,40.2,90.21,14.91,"High (7%+)","Bachelor's+"
"Alabama",2013,"South",14.1854792235733,33.6096263260197,0.260048268779925,1.8,7.4,3.35,2.94,8.12,35.49,91.91,15.28,"High (7%+)","Some College"
"Alabama",2014,"South",14.1854792235733,33.6096263260197,0.260048268779925,2.5,6.2,2.29,1.76,5.02,37.25,89.54,14.67,"Mid (4-7%)","Some College"
"Alabama",2015,"South",14.1854792235733,33.6096263260197,0.260048268779925,2.7,5.3,1.41,3.25,9.12,39.99,90.27,15.29,"High (7%+)","Bachelor's+"
"Alabama",2016,"South",14.1854792235733,33.6096263260197,0.260048268779925,1.7,4.9,1.9,2.97,5.22,39.53,90,15.1,"Mid (4-7%)","Bachelor's+"
"Alabama",2017,"South",14.1854792235733,33.6096263260197,0.260048268779925,2.2,4.4,1.76,3.63,3.81,35.78,89.6,15.44,"Low (<4%)","Some College"
"Alabama",2018,"South",14.1854792235733,33.6096263260197,0.260048268779925,2.9,3.9,3.61,3.61,3.74,37.26,90.02,15.15,"Low (<4%)","Some College"
"Alabama",2019,"South",14.1854792235733,33.6096263260197,0.260048268779925,2.3,3.7,4.02,3.67,4.3,35.72,92.18,15.83,"Mid (4-7%)","Some College"
"Alabama",2020,"South",14.1854792235733,33.6096263260197,0.260048268779925,-2.8,8.1,-3.99,1.35,8.8,38.83,90.93,14.89,"High (7%+)","Bachelor's+"
"Alabama",2021,"South",14.1854792235733,33.6096263260197,0.260048268779925,5.9,5.3,6.45,3.33,3.35,38.03,92.54,15.7,"Low (<4%)","Bachelor's+"
